Product_Name,Order_Guide_Line_No,Product_Code,UPC_Code,Category,Unit_Of_Measure,Case_Weight,Case_Size_WxHxD,Unit_Weight,Unit_Size_WxHxD,Pallet_Qty,Country_Of_Origin,Availability,Unit_Price,Image_link
Mover's Dolly,,91630,039593916306,Misc. Tools - All Others,24/EACH,28 lbs,"14.17"" x 17.32"" x 12.99""",,,648 units,,,,http://p2.glwholesale.com/l/91630.jpg
MOVERS' DOLLY,,91640,039593916405,Misc. Tools - All Others,2/EACH,24 lbs,"18.11"" x 5.51"" x 29.92""",7.000 lbs,,0 units,,,,http://p2.glwholesale.com/l/91640.jpg
No-Flat Hand Truck Tire,,91606,039593916061,Misc. Tools - All Others,5/EACH,48 lbs,"10.63"" x 16.14"" x 10.63""",,,200 units,,,,http://p2.glwholesale.com/l/91606.jpg
No-Flat Tire With Knob Thread,,91608,039593916085,Misc. Tools - All Others,5/EACH,17 lbs,"10.63"" x 16.14"" x 10.63""",,,200 units,,,,http://p2.glwholesale.com/l/91608.jpg
1000# PLASTIC MOVERS DOLLY,,91655,039593916559,Misc. Tools - All Others,2/EACH,29 lbs,"7.48"" x 30.71"" x 18.50""",,,28 units,,,,http://p2.glwholesale.com/l/91655.jpg
"100pc bag 2"" PEG BOARD HOOK",,92792,039593927920,Misc. Tools - All Others,10/EACH,35 lbs,"5.91"" x 10.24"" x 19.69""",,,640 units,,,,http://p2.glwholesale.com/l/92792.jpg
30 BIN WALL-MOUNT RACK,,98200,039593982004,Misc. Tools - All Others,1/EACH,11 lbs,"16.93"" x 26.77"" x 10.24""",,,12 units,,,,http://p2.glwholesale.com/l/98200.jpg
600 lbs FOLDING HAND TRUCK BOX,,91601,039593916009,Misc. Tools - All Others,1/EACH,24 lbs,"18.11"" x 51.57"" x 13.78""",24.420 lbs,,20 units,,,,http://p2.glwholesale.com/l/91601.jpg
600# HAND TRUCK NO FLAT TIRES,,91602,039593916023,Misc. Tools - All Others,2/EACH,24 lbs,"18.11"" x 51.57"" x 13.78""",24.420 lbs,,0 units,,,,http://p2.glwholesale.com/l/91602.jpg
FULL FACE & NECK SHIELD,,91470,039593914708,Misc. Tools - All Others,6/EACH,7 lbs,"10.24"" x 25.20"" x 16.14""",,,0 units,,,,http://p2.glwholesale.com/l/91470.jpg
Clear Face Shield,,91480,039593914807,Misc. Tools - All Others,25/EACH,22 lbs,"20.87"" x 20.08"" x 18.11""",,,300 units,,,,http://p2.glwholesale.com/l/91480.jpg
50 Pack Disposable Dust & Filter Masks,,91420,039593914203,Misc. Tools - All Others,20/EACH,9 lbs,"9.45"" x 11.42"" x 23.23""",,,640 units,,,,http://p2.glwholesale.com/l/91420.jpg
"10"" AIR TIRE",,91605,039593916054,Misc. Tools - All Others,5/EACH,17 lbs,"10.63"" x 16.14"" x 10.63""",,,200 units,,,,http://p2.glwholesale.com/l/91605.jpg
Ear Muff Noise Protector,,91405,039593914050,Misc. Tools - All Others,24/EACH,13 lbs,"17.72"" x 20.47"" x 23.62""",,,192 units,,,,http://p2.glwholesale.com/l/91405.jpg
"5-1/2"""" Soldering Stand",,91160,039593911608,Misc. Tools - All Others,"24/5.5""",18 lbs,"7.48"" x 14.57"" x 11.42""",,,0 units,,,,http://p2.glwholesale.com/l/91160.jpg
Knee Pad With Plastic Cap,,91370,039593913701,Misc. Tools - All Others,24/EACH,24 lbs,"13.78"" x 18.90"" x 25.98""",0.450 lbs,,0 units,,,,http://p2.glwholesale.com/l/91370.jpg
407PC O-Ring Set,,91310,039593913107,Misc. Tools - All Others,12/EACH,22 lbs,"17.32"" x 11.02"" x 24.41""",16.000 lbs,,192 units,,,,http://p2.glwholesale.com/l/91310.jpg
2PC O-Ring Assortment,,91340,039593913404,Misc. Tools - All Others,72/EACH,11 lbs,"11.81"" x 27.56"" x 11.02""",0.153 lbs,,"2,160 units",,,,http://p2.glwholesale.com/l/91340.jpg
Twin Cartridge Respirator,,91440,039593914401,Misc. Tools - All Others,24/EACH,24 lbs,"17.72"" x 20.47"" x 18.90""",,,192 units,,,,http://p2.glwholesale.com/l/91440.jpg
"Air Tire 13""",,91555,039593915552,Misc. Tools - All Others,5/EACH,24 lbs,"14.17"" x 20.47"" x 14.17""",,,90 units,,,,http://p2.glwholesale.com/l/91555.jpg
No-Flat Wheelbarrow Tire,,91557,039593915576,Misc. Tools - All Others,4/EACH,30 lbs,"16.93"" x 20.08"" x 15.75""",,,72 units,,,,http://p2.glwholesale.com/l/91557.jpg
600 POUND HAND TRUCK,,91600,039593916009,Misc. Tools - All Others,1/EACH,22 lbs,"18.11"" x 51.57"" x 13.78""",24.420 lbs,,0 units,,,,http://p2.glwholesale.com/l/91600.jpg
"11"""" Square Tool Bag",,91142,039593911424,Misc. Tools - All Others,6/EACH,19 lbs,"11.42"" x 28.74"" x 21.26""",,,60 units,,,,http://p2.glwholesale.com/l/91142.jpg
Pistol Grip Soldering Iron,,91150,039593911509,Misc. Tools - All Others,48/EACH,20 lbs,"21.26"" x 12.60"" x 28.35""",0.350 lbs,,"1,152 units",,,,http://p2.glwholesale.com/l/91150.jpg
9 LED MAGNIFYING DESK LAMP POP,,90820,039593908202,Misc. Tools - All Others,48/EACH,15 lbs,"10.63"" x 13.39"" x 9.06""",,,0 units,,,,http://p2.glwholesale.com/l/90820.jpg
